Name,Primary_URL,Repository_URL,First_Appeared_Year,Open_Source_Model,License,Short_Description,Community_Size_Category,Community_Proxy_Evidence,GitHub_Stars_2026_09_17,GitHub_Stars_Caveat,Estimated_External_Integrations,Integration_Notes,Time_Tracking,Agile_Views,Gantt_View,Calendar_View,Open_Calendar_Sync,Deployment,Calendar_Sync,Data_Out,Stack,Hosted_Option,Ease_of_Deployment_Score_1_5,Ease_of_Deployment_Review,Ease_of_Use_Score_1_5,Ease_of_Use_Review,Enterprise_Features_Score_1_5,Enterprise_Features_Review,Interface_Flexibility_Score_1_5,Interface_Flexibility_Review,Data_Sovereignty_Score_1_5,Data_Sovereignty_Review,Portability_Score_1_5,Portability_Review,Activity_or_Caveat,Research_Confidence,Source_URLs
NocoDB,https://nocodb.com/,github.com/nocodb/nocodb,2021,Open core,AGPL-3.0,"Puts grid, kanban, gallery, form and calendar views over a SQL database you already own, so the task board is a view rather than a new system of record.",Large,"65.0k GitHub stars with frequent releases, and wide deployment as a self-hosted Airtable replacement.",64995,,30–60,"An auto-generated REST API with Swagger, per-table webhooks, native connectors to external PostgreSQL and MySQL sources, and packaged Zapier, n8n and Make apps.",NO,NATIVE,NO,NATIVE,NO,"One container over SQLite, or pointed at an existing PostgreSQL or MySQL database.",None. Neither CalDAV nor an iCalendar feed.,"CSV, JSON and Excel exports; an auto-generated Swagger REST API, and per-table webhooks.","Node.js and Vue over SQLite, PostgreSQL or MySQL.",First-party (NocoDB Cloud).,4.4,"A single container over SQLite, or pointed straight at a database you already run.",4.0,Anyone who has used a spreadsheet is productive in minutes; the relational parts take longer.,3.6,"Owner, creator, editor, commenter and viewer per base. SSO, audit and row-level policy are paid.",4.6,"Five view types over any table, with formulas, lookups, rollups and per-view filters.",4.0,The AGPL core self-hosts in full; governance features are the part held back.,4.8,Point it at your own PostgreSQL and the data never enters NocoDB's storage in the first place.,"A database with task views, not a task manager. There is no sprint, dependency or timeline unless you model one, and nothing stops a team modelling it badly.",Medium-high,https://github.com/nocodb/nocodb | https://nocodb.com/docs/product-docs/automation/webhook | https://nocodb.com/
PLANKA,https://planka.app/,github.com/plankanban/planka,2019,Source-available,Edition-dependent; not treated here as pure OSI FOSS,Board-first Trello alternative. The Community edition is capable; timeline and calendar sit in the paid tiers.,Large,"Widely visible in self-hosting circles and broadly used, on an official Community and Pro split.",12555,,few,A wide notification surface. That is not the same as a hundred two-way business integrations.,NATIVE,NATIVE,PARTIAL,PARTIAL,NO,A two-container Compose file: the application and PostgreSQL. Nothing else to run.,None. Neither CalDAV nor an iCalendar feed.,JSON and CSV board exports; REST API and webhooks.,Node.js and React over PostgreSQL.,None recorded for the Community edition.,4.7,A compact container stack that comes up quickly.,4.8,The closest thing to Trello you can host yourself.,3.6,"The business features exist, mostly in Pro and Enterprise rather than Community.",4.0,The board is the product. The other views are thinner than a full suite’s.,4.5,"The data is yours. The licence and edition rules mean the software is not, entirely.",3.6,You can move the instance. The fair-code terms still bind you where MIT and GPL peers would not.,Read the licence before committing. Community is capable; several organisational features are paid.,Medium-high,https://planka.app | https://docs.planka.cloud | https://github.com/plankanban/planka
Taiga,https://taiga.io/,github.com/taigaio,2014,FOSS,Open-source (project states 100% open source self-hosting),"Agile-first: backlogs, sprint boards, burndowns, WIP limits and swimlanes, with no native Gantt, calendar or time tracking.",Large,"An established project with its own forum, documentation and years of agile-team adoption.",2148,"The codebase is split across taiga-docker, taiga-back and taiga-front. This is the largest of the three; the other two hold roughly 1.2k more between them.",8–15,"Source-control and migration workflows. Community docs cover GitHub, GitLab, Gitea and Gogs.",NO,NATIVE,NO,NO,NO,"A multi-container Compose stack with an official install script, over PostgreSQL, RabbitMQ and Redis.",None. Neither CalDAV nor an iCalendar feed.,"A full project dump as JSON, plus CSV; comprehensive REST API and webhooks.",Python (Django) and React over PostgreSQL.,First-party (Taiga cloud).,3.8,"Documented well, but it is a multi-service stack rather than one container.",4.5,Immediately clear to a team that already runs sprints.,3.4,"Agile workflow control is thorough. Portfolio, cost and governance are absent.",4.2,"Deep agile configuration and custom fields, with few of the classic PM views.",5.0,"Open source throughout, self-hosted in full.",4.5,"Open source, with importers, exports and an API to leave by.","No native Gantt, calendar or time tracking. For some teams that ends the evaluation.",High,https://taiga.io | https://docs.taiga.io | https://community.taiga.io
Focalboard,https://www.focalboard.com/,github.com/mattermost-community/focalboard,2021,FOSS,MIT (personal server),"Trello-shaped boards with table, gallery and calendar views over the same cards, from the Mattermost project and now maintained by whoever turns up.",Medium-large,"26.5k GitHub stars from the Mattermost era, with community commits continuing into 2026 against an open call for maintainers.",26466,,few,A REST API and a board archive format. Deeper integration comes from running it inside Mattermost rather than from connectors of its own.,NO,NATIVE,NO,NATIVE,NO,"A single Docker image for the personal server, or the board plugin inside Mattermost.",None. Neither CalDAV nor an iCalendar feed.,JSON board archives and CSV exports; a REST API.,Go and React.,"Through Mattermost Cloud, as part of that product rather than on its own.",4.3,"A single Docker image for the personal server, or the board plugin inside an existing Mattermost.",4.2,"Notion-style properties over a Trello-style board, and almost nothing to learn first.",2.6,"Board-level roles only: admin, editor, commenter, viewer. No organisational model above that.",3.4,"Kanban, table, gallery and calendar over custom properties, with filters and grouping.",4.4,"MIT, self-hostable in full, and small enough to fork if it comes to that.",3.6,"JSON board archives and CSV, over a REST API. Enough to leave, not enough to automate around.",Community-maintained. Mattermost stopped bundling the plugin in September 2023 and adds neither features nor fixes; commits continue from contributors against an open call for maintainers. Treat the roadmap as absent rather than slow.,High,https://github.com/mattermost-community/focalboard | https://github.com/mattermost-community/focalboard/issues/5038 | https://www.focalboard.com/
Grist,https://www.getgrist.com/,github.com/gristlabs/grist-core,2020,Open core,Apache-2.0 (grist-core),"A relational spreadsheet with Python formulas and cell-level access rules, where the tracker is something you assemble rather than something you are given.",Medium-large,"11.8k GitHub stars, steady releases, and visible adoption in public-sector and civic-tech deployments.",11811,,20–40,"REST API with an interactive console, outgoing webhooks, custom widgets, and packaged Zapier, n8n and Make connectors.",NO,PARTIAL,NO,PARTIAL,NO,"One official container over SQLite, with Python for formulas. No external database required.",None. Neither CalDAV nor an iCalendar feed.,"SQLite, CSV and Excel exports; REST API with an interactive console, and outgoing webhooks.",Python and TypeScript over SQLite.,"First-party (Grist hosted), with paid tiers above the Apache-2.0 core.",4.5,"One official container over SQLite, with no queue, cache or object store to run beside it.",3.6,Spreadsheet fluency gets you a long way; a task board is still something you have to design.,3.8,Access rules down to the individual cell are the best in this table. SSO and SCIM are Enterprise.,4.6,"Widgets, Python formulas and linked views will model almost any process you can describe.",4.2,grist-core self-hosts completely; the Enterprise build adds administration rather than function.,4.6,Your document is a SQLite file. Few exits in this field are that clean.,"Not a task manager out of the box. You get a database, a formula language and the parts to build one, which is either exactly the point or immediately the problem.",Medium-high,https://github.com/gristlabs/grist-core | https://support.getgrist.com/technical-docs/ | https://www.getgrist.com/
Kanboard,https://kanboard.org/,github.com/kanboard/kanboard,2014,FOSS,MIT,"Deliberately minimal Kanban with SQLite by default, a plugin architecture, and almost no operational surface area.",Medium-large,"Long-lived, with 300+ contributors reported in project materials and a large plugin ecosystem.",9871,,30–60,"Plugins, webhooks and an API. The working count changes over time.",NATIVE,NATIVE,NATIVE,NATIVE,PARTIAL,"One PHP container over embedded SQLite, with PostgreSQL and MySQL optional. Almost no operational surface.","iCalendar subscription feeds per project and per user, one way out. No CalDAV.",CSV and JSON exports; JSON-RPC API and webhooks.,PHP over SQLite by default; no build step and no JavaScript framework.,None recorded. Self-hosting only.,4.9,Runs on SQLite. There is almost nothing to operate.,4.0,"Direct and unambiguous, and deliberately unpolished.",2.8,The workflow core is sound. Native governance and portfolio depth are not there.,4.0,"Swimlanes, automatic actions, Gantt, calendar and plugin hooks, behind a sparse interface that hides them.",5.0,"MIT, and small enough to read. Nothing constrains what you do with it.",4.9,"A permissive licence, an API and an ordinary database. Very little to leave behind.",Suits teams that want simplicity and control more than a polished interface.,High,https://kanboard.org | https://docs.kanboard.org/v1/user/time_tracking | https://docs.kanboard.org/v1/dev/webhooks | https://github.com/kanboard/kanboard
Kimai,https://www.kimai.org/,github.com/kimai/kimai,2006,Open core,AGPL-3.0,"Timesheets first: activities, rates, budgets and invoices for teams whose tasks exist mainly to be billed.",Medium-large,"5.0k GitHub stars, twenty years of continuity, frequent releases and an active official plugin store.",5004,,20–40,"A JSON REST API, mobile and desktop clients, a CLI, and an official store carrying accounting and chat connectors such as Bexio, Lexoffice and Microsoft Teams.",NATIVE,NO,NO,NATIVE,PARTIAL,"One Compose file with PHP, a web server and MySQL.","An iCalendar feed of the timesheet, one way out. No CalDAV.","CSV, XLSX, PDF and JSON exports, plus invoice templates; a JSON REST API.",PHP (Symfony) over MySQL.,First-party (Kimai Cloud).,4.4,One Compose file with PHP and MySQL. A long-standing project with installation documentation to match.,4.0,"The timesheet is the interface, and for its audience that is exactly right.",4.0,"Customer, user, team-lead and admin roles with strict visibility gates, plus SSO and an audit trail.",3.2,"Deep in one direction and absent in every other: no boards, no timelines, no issue workflow.",4.4,"The AGPL core tracks, budgets and invoices without reaching for the store.",4.4,"CSV, XLSX, PDF and JSON out, with a REST API. Getting time into an accounting system is the design goal.","Open core by plugin. The AGPL core bills and invoices on its own, but a good deal of the ecosystem, including several accounting connectors, sits in a paid store.",Medium-high,https://github.com/kimai/kimai | https://www.kimai.org/store/ | https://www.kimai.org/en/integrations
Super Productivity,https://super-productivity.com/,github.com/johannesjo/super-productivity,2017,FOSS,MIT,A personal task list with pomodoro timing and timeboxing that pulls its work items out of the trackers your team already runs.,Medium-large,"22.1k GitHub stars and frequent releases, driven by one maintainer with a steady contributor stream.",22092,,8–15,"Jira, Trello, GitHub, GitLab, Gitea, Forgejo, OpenProject, Linear, ClickUp, Azure DevOps, Google Calendar and CalDAV, each called directly from your own device with no middleware in between.",NATIVE,NO,PARTIAL,PARTIAL,PARTIAL,"No server at all: a browser app, with optional WebDAV, Dropbox or local-file sync.","Reads tasks from a CalDAV server as an issue source, and a Google Calendar feed. It is not a CalDAV server itself.","JSON and CSV exports, plus whatever the sync target holds; integrations with other trackers rather than an API of its own.","TypeScript and Angular, storing to IndexedDB.","None needed, and none offered.",5.0,"There is nothing to deploy. It runs in the browser, and sync is a WebDAV target or a file you already keep.",4.4,"Opinionated and quick: pick a task, start the timer, and the timesheet writes itself.",1.0,"There is no multi-user model at all — no roles, no shared instance, no administration.",3.0,"A list, a schedule and time logs. Depth is in the timer and the issue providers, not in views.",5.0,Your device holds the data and the app calls each service directly. Nothing to take away from you.,4.4,"JSON and CSV out, plus whatever your sync target already holds as plain files.","Single-user by design. There are no roles, no shared instance and no server to administer, which is either exactly right or immediately disqualifying.",High,https://github.com/johannesjo/super-productivity | https://super-productivity.com/integrations/ | https://super-productivity.com/
Taskwarrior,https://taskwarrior.org/,github.com/GothenburgBitFactory/taskwarrior,2006,FOSS,MIT,A command-line task manager with a tuneable urgency model; the browser arrives through third-party clients built on its sync protocol.,Medium-large,"6.1k GitHub stars and twenty years of continuity, with a devoted command-line following and a small ecosystem of front-ends.",6071,,4–10,"The documented TaskChampion sync protocol, a hook system, and third-party clients including WingTask and taskwarrior_web. There is no first-party web interface.",NATIVE,NO,NO,PARTIAL,NO,"A local task database, plus an optional TaskChampion sync server.",None. Neither CalDAV nor an iCalendar feed.,"JSON and the native task format; a CLI, a hook system and a documented sync protocol.",Rust and C++.,Third-party only (WingTask); no first-party service.,3.6,A local database and an optional sync server. The browser route needs a third party you also have to trust.,2.6,"Extraordinary if you live in a terminal, and close to opaque if you do not.",1.2,"No roles, no organisation, no shared project. It was never trying.",3.4,"Contexts, filters, urgency coefficients and custom reports. Deep, and entirely textual.",4.6,"MIT and local, minus the part where the best browser client is somebody else's hosted service.",4.8,JSON and a documented format with twenty years of compatibility behind it.,"There is no first-party web interface. Browser access comes from third-party clients on the sync protocol, and the most polished of them is a commercial hosted service — so the browser route is real, but it is not the project's own and is not covered by the MIT licence above.",Medium-high,https://github.com/GothenburgBitFactory/taskwarrior | https://taskwarrior.org/docs/sync/ | https://docs.wingtask.com/docs/syncing_taskwarrior/
Trilium Notes,https://triliumnotes.org/,github.com/TriliumNext/Trilium,2017,FOSS,AGPL-3.0,A scriptable hierarchical note tree. A first-party task list is in development; today a to-do is a note carrying a label.,Medium-large,"37.9k GitHub stars carried over from the original project, with TriliumNext shipping regular releases since the original was archived.",37872,"TriliumNext/Trilium is the renamed original repository, so the count carries the archived project’s following with it rather than starting again.",3–10,"ETAPI, a token-authenticated REST interface, plus scripts that run inside notes. No packaged connectors to other task systems.",NO,NO,NO,PARTIAL,NO,One container with embedded SQLite; desktop clients sync to it.,None. Neither CalDAV nor an iCalendar feed.,"HTML and Markdown exports, and a full database ZIP; ETAPI token-authenticated REST.",Node.js over SQLite.,"None. A self-hosted server, or a local desktop application.",4.4,"One container with embedded SQLite, with desktop clients syncing to it.",3.2,Excellent as a knowledge base. As a task manager it asks you to invent the convention first.,1.4,Single-tenant and password-protected. There is no concept of another user.,3.6,"Attributes, templates and in-note scripting will build almost anything, slowly.",4.6,"AGPL, self-hosted, embedded database, and the whole thing exports as one file.",4.2,"HTML, Markdown and a complete database ZIP, plus ETAPI. Leaving is a download.",Barely a task manager yet. A first-party task list is in development; today a to-do list is a note with an #initTodo label and a community script behind it. The original zadam/trilium is archived — TriliumNext is the maintained continuation and the one recorded here.,Medium,https://github.com/TriliumNext/Trilium | https://github.com/TriliumNext/Trilium/wiki/ETAPI | https://docs.triliumnotes.org/user-guide/
